time	L2Error	H1Error
0.00078125	0.000163	0.0244893
0.0015625	0.000163491	0.0244702
0.00234375	0.000163954	0.0244511
0.003125	0.000164393	0.024432
0.00390625	0.000164812	0.024413
0.0046875	0.000165213	0.0243939
0.00546875	0.000165599	0.0243749
0.00625	0.00016597	0.0243558
0.00703125	0.000166327	0.0243368
0.0078125	0.000166672	0.0243178
0.00859375	0.000167006	0.0242989
0.009375	0.000167329	0.0242799
0.0101563	0.000167641	0.0242609
0.0109375	0.000167943	0.024242
0.0117188	0.000168236	0.0242231
0.0125	0.00016852	0.0242042
0.0132813	0.000168796	0.0241853
0.0140625	0.000169064	0.0241664
0.0148438	0.000169323	0.0241476
0.015625	0.000169575	0.0241287
0.0164063	0.00016982	0.0241099
0.0171875	0.000170057	0.0240911
0.0179688	0.000170288	0.0240723
0.01875	0.000170512	0.0240535
0.0195313	0.00017073	0.0240347
0.0203125	0.000170941	0.0240159
0.0210938	0.000171146	0.0239972
0.021875	0.000171346	0.0239785
0.0226563	0.000171539	0.0239598
0.0234375	0.000171727	0.0239411
0.0242188	0.00017191	0.0239224
0.025	0.000172087	0.0239037
0.0257813	0.000172259	0.0238851
0.0265625	0.000172426	0.0238664
0.0273438	0.000172588	0.0238478
0.028125	0.000172745	0.0238292
0.0289063	0.000172897	0.0238106
0.0296875	0.000173045	0.023792
0.0304688	0.000173188	0.0237734
0.03125	0.000173327	0.0237549
0.0320313	0.000173461	0.0237363
0.0328125	0.000173591	0.0237178
0.0335938	0.000173716	0.0236993
0.034375	0.000173838	0.0236808
0.0351562	0.000173955	0.0236623
0.0359375	0.000174069	0.0236439
0.0367187	0.000174178	0.0236254
0.0375	0.000174284	0.023607
0.0382812	0.000174386	0.0235886
0.0390625	0.000174484	0.0235701
0.0398437	0.000174579	0.0235518
0.040625	0.00017467	0.0235334
0.0414062	0.000174757	0.023515
0.0421875	0.000174841	0.0234967
0.0429687	0.000174922	0.0234783
0.04375	0.000174999	0.02346
0.0445312	0.000175073	0.0234417
0.0453125	0.000175144	0.0234234
0.0460937	0.000175212	0.0234051
0.046875	0.000175276	0.0233868
0.0476562	0.000175338	0.0233686
0.0484375	0.000175396	0.0233503
0.0492187	0.000175452	0.0233321
0.05	0.000175504	0.0233139
0.0507812	0.000175554	0.0232957
0.0515625	0.000175601	0.0232775
0.0523437	0.000175645	0.0232594
0.053125	0.000175686	0.0232412
0.0539062	0.000175725	0.0232231
0.0546875	0.000175761	0.023205
0.0554687	0.000175794	0.0231868
0.05625	0.000175825	0.0231687
0.0570312	0.000175853	0.0231507
0.0578125	0.000175879	0.0231326
0.0585937	0.000175902	0.0231145
0.059375	0.000175923	0.0230965
0.0601562	0.000175941	0.0230785
