time	L2Error	H1Error
0.05	0.0107999	0.186522
0.1	0.0107081	0.177643
0.15	0.0103909	0.169108
0.2	0.00998034	0.160926
0.25	0.00953862	0.153109
0.3	0.00909446	0.145658
0.35	0.00866075	0.138561
0.4	0.00824294	0.131807
0.45	0.00784307	0.12538
0.5	0.00746156	0.119266
0.55	0.00709812	0.113449
0.6	0.00675216	0.107917
0.65	0.00642295	0.102654
0.7	0.00610975	0.0976471
0.75	0.0058118	0.0928848
0.8	0.00552836	0.0883548
0.85	0.00525874	0.0840457
0.9	0.00500227	0.0799467
0.95	0.00475831	0.0760477
1	0.00452625	0.0723388
