time	L2Error	H1Error
0.0125	0.00267721	0.0967986
0.025	0.00272756	0.0956072
0.0375	0.00275906	0.0944313
0.05	0.00277661	0.0932694
0.0625	0.0027834	0.0921208
0.075	0.00278179	0.0909853
0.0875	0.00277356	0.0898627
0.1	0.00276012	0.0887528
0.1125	0.00274261	0.0876555
0.125	0.00272193	0.086571
0.1375	0.00269879	0.0854992
0.15	0.00267378	0.08444
0.1625	0.00264735	0.0833934
0.175	0.00261987	0.0823594
0.1875	0.00259163	0.0813378
0.2	0.00256287	0.0803286
0.2125	0.00253376	0.0793317
0.225	0.00250446	0.078347
0.2375	0.00247508	0.0773744
0.25	0.00244572	0.0764138
0.2625	0.00241643	0.0754649
0.275	0.00238729	0.0745278
0.2875	0.00235833	0.0736023
0.3	0.00232959	0.0726882
0.3125	0.00230109	0.0717854
0.325	0.00227286	0.0708938
0.3375	0.00224491	0.0700132
0.35	0.00221724	0.0691436
0.3625	0.00218988	0.0682847
0.375	0.00216281	0.0674365
0.3875	0.00213606	0.0665989
0.4	0.00210961	0.0657716
0.4125	0.00208348	0.0649546
0.425	0.00205765	0.0641477
0.4375	0.00203214	0.0633509
0.45	0.00200693	0.062564
0.4625	0.00198203	0.0617868
0.475	0.00195743	0.0610193
0.4875	0.00193313	0.0602613
0.5	0.00190913	0.0595127
0.5125	0.00188543	0.0587734
0.525	0.00186202	0.0580433
0.5375	0.00183889	0.0573223
0.55	0.00181606	0.0566103
0.5625	0.0017935	0.055907
0.575	0.00177123	0.0552125
0.5875	0.00174923	0.0545267
0.6	0.0017275	0.0538493
0.6125	0.00170604	0.0531804
0.625	0.00168485	0.0525198
0.6375	0.00166392	0.0518674
0.65	0.00164325	0.0512231
0.6625	0.00162284	0.0505868
0.675	0.00160268	0.0499584
0.6875	0.00158277	0.0493378
0.7	0.00156311	0.0487249
0.7125	0.0015437	0.0481196
0.725	0.00152452	0.0475219
0.7375	0.00150558	0.0469316
0.75	0.00148688	0.0463486
0.7625	0.00146841	0.0457728
0.775	0.00145017	0.0452042
0.7875	0.00143216	0.0446427
0.8	0.00141436	0.0440881
0.8125	0.0013968	0.0435404
0.825	0.00137944	0.0429996
0.8375	0.00136231	0.0424654
0.85	0.00134539	0.0419379
0.8625	0.00132867	0.041417
0.875	0.00131217	0.0409025
0.8875	0.00129587	0.0403944
0.9	0.00127977	0.0398926
0.9125	0.00126387	0.039397
0.925	0.00124817	0.0389076
0.9375	0.00123267	0.0384243
0.95	0.00121736	0.037947
0.9625	0.00120223	0.0374756
0.975	0.0011873	0.0370101
0.9875	0.00117255	0.0365503
1	0.00115798	0.0360963
