time	L2Error	H1Error
0.0025	0.0061289	0.118608
0.005	0.00621935	0.11883
0.0075	0.00630539	0.119062
0.01	0.00638748	0.119302
0.0125	0.00646595	0.119549
0.015	0.00654109	0.119801
0.0175	0.00661316	0.120059
0.02	0.00668234	0.120322
0.0225	0.00674883	0.120589
0.025	0.00681277	0.120861
0.0275	0.00687431	0.121135
0.03	0.00693359	0.121414
0.0325	0.00699072	0.121695
0.035	0.00704582	0.121979
0.0375	0.00709901	0.122266
0.04	0.00715038	0.122555
0.0425	0.00720004	0.122847
0.045	0.00724806	0.123141
0.0475	0.00729456	0.123436
0.05	0.0073396	0.123734
0.0525	0.00738327	0.124033
0.055	0.00742564	0.124334
0.0575	0.00746679	0.124637
0.06	0.00750678	0.124941
0.0625	0.00754568	0.125246
0.065	0.00758356	0.125553
0.0675	0.00762047	0.125862
0.07	0.00765646	0.126171
0.0725	0.00769159	0.126482
0.075	0.00772592	0.126794
0.0775	0.00775948	0.127107
0.08	0.00779232	0.127421
0.0825	0.00782449	0.127736
0.085	0.00785602	0.128053
0.0875	0.00788696	0.12837
0.09	0.00791734	0.128689
0.0925	0.00794719	0.129008
0.095	0.00797655	0.129329
0.0975	0.00800545	0.12965
0.1	0.00803391	0.129973
0.1025	0.00806197	0.130296
0.105	0.00808964	0.13062
0.1075	0.00811696	0.130946
0.11	0.00814395	0.131272
0.1125	0.00817062	0.131599
0.115	0.00819701	0.131927
0.1175	0.00822312	0.132256
0.12	0.00824898	0.132586
0.1225	0.0082746	0.132917
0.125	0.00830001	0.133249
0.1275	0.00832521	0.133581
0.13	0.00835022	0.133915
0.1325	0.00837506	0.134249
0.135	0.00839974	0.134584
0.1375	0.00842426	0.134921
0.14	0.00844865	0.135258
0.1425	0.00847291	0.135596
0.145	0.00849706	0.135934
0.1475	0.00852109	0.136274
0.15	0.00854503	0.136615
0.1525	0.00856888	0.136956
0.155	0.00859265	0.137299
0.1575	0.00861635	0.137642
0.16	0.00863998	0.137986
0.1625	0.00866355	0.138331
0.165	0.00868707	0.138677
0.1675	0.00871055	0.139024
0.17	0.00873398	0.139371
0.1725	0.00875738	0.13972
0.175	0.00878075	0.140069
0.1775	0.0088041	0.14042
0.18	0.00882743	0.140771
0.1825	0.00885074	0.141123
0.185	0.00887404	0.141476
0.1875	0.00889734	0.14183
0.19	0.00892063	0.142185
0.1925	0.00894392	0.142541
0.195	0.00896721	0.142897
0.1975	0.00899051	0.143255
0.2	0.00901382	0.143613
0.2025	0.00903714	0.143973
0.205	0.00906048	0.144333
0.2075	0.00908383	0.144694
0.21	0.00910721	0.145056
0.2125	0.00913061	0.145419
0.215	0.00915403	0.145783
0.2175	0.00917747	0.146148
0.22	0.00920095	0.146514
0.2225	0.00922445	0.14688
0.225	0.00924799	0.147248
0.2275	0.00927156	0.147616
0.23	0.00929517	0.147986
0.2325	0.00931881	0.148356
0.235	0.00934249	0.148727
0.2375	0.00936621	0.1491
0.24	0.00938997	0.149473
0.2425	0.00941377	0.149847
0.245	0.00943761	0.150222
0.2475	0.0094615	0.150598
0.25	0.00948543	0.150975
0.2525	0.00950941	0.151353
0.255	0.00953343	0.151732
0.2575	0.0095575	0.152111
0.26	0.00958162	0.152492
0.2625	0.00960579	0.152874
0.265	0.00963001	0.153256
0.2675	0.00965428	0.15364
0.27	0.0096786	0.154025
0.2725	0.00970297	0.15441
0.275	0.0097274	0.154797
0.2775	0.00975188	0.155184
0.28	0.00977641	0.155572
0.2825	0.009801	0.155962
0.285	0.00982564	0.156352
0.2875	0.00985034	0.156744
0.29	0.00987509	0.157136
0.2925	0.0098999	0.157529
0.295	0.00992477	0.157923
0.2975	0.00994969	0.158319
0.3	0.00997467	0.158715
0.3025	0.00999971	0.159112
0.305	0.0100248	0.159511
0.3075	0.01005	0.15991
0.31	0.0100752	0.16031
0.3125	0.0101005	0.160711
0.315	0.0101258	0.161114
0.3175	0.0101512	0.161517
0.32	0.0101767	0.161921
0.3225	0.0102022	0.162326
0.325	0.0102278	0.162733
0.3275	0.0102534	0.16314
0.33	0.0102791	0.163549
0.3325	0.0103049	0.163958
0.335	0.0103307	0.164368
0.3375	0.0103566	0.16478
0.34	0.0103825	0.165192
0.3425	0.0104086	0.165606
0.345	0.0104346	0.16602
0.3475	0.0104608	0.166436
0.35	0.010487	0.166852
