time	L2Error	H1Error
0.104375	0.00210915	0.0669684
0.105	0.00211109	0.0670102
0.105625	0.00211303	0.067052
0.10625	0.00211496	0.0670938
0.106875	0.00211688	0.0671357
0.1075	0.00211879	0.0671776
0.108125	0.0021207	0.0672195
0.10875	0.00212261	0.0672615
0.109375	0.0021245	0.0673034
0.11	0.00212639	0.0673455
0.110625	0.00212828	0.0673875
0.11125	0.00213016	0.0674296
0.111875	0.00213203	0.0674716
0.1125	0.0021339	0.0675138
0.113125	0.00213576	0.0675559
0.11375	0.00213762	0.0675981
0.114375	0.00213947	0.0676403
0.115	0.00214131	0.0676825
0.115625	0.00214315	0.0677248
0.11625	0.00214499	0.067767
0.116875	0.00214682	0.0678094
0.1175	0.00214864	0.0678517
0.118125	0.00215046	0.0678941
0.11875	0.00215228	0.0679365
0.119375	0.00215409	0.0679789
0.12	0.00215589	0.0680213
0.120625	0.00215769	0.0680638
0.12125	0.00215949	0.0681063
0.121875	0.00216128	0.0681488
0.1225	0.00216306	0.0681914
0.123125	0.00216485	0.068234
0.12375	0.00216662	0.0682766
0.124375	0.0021684	0.0683192
0.125	0.00217017	0.0683619
0.125625	0.00217193	0.0684046
0.12625	0.00217369	0.0684473
0.126875	0.00217545	0.06849
0.1275	0.0021772	0.0685328
0.128125	0.00217895	0.0685756
0.12875	0.0021807	0.0686184
0.129375	0.00218244	0.0686613
0.13	0.00218418	0.0687042
0.130625	0.00218591	0.0687471
0.13125	0.00218764	0.06879
0.131875	0.00218937	0.068833
0.1325	0.00219109	0.068876
0.133125	0.00219281	0.068919
0.13375	0.00219453	0.0689621
0.134375	0.00219624	0.0690052
0.135	0.00219795	0.0690483
0.135625	0.00219966	0.0690914
0.13625	0.00220136	0.0691346
0.136875	0.00220306	0.0691777
0.1375	0.00220476	0.069221
0.138125	0.00220645	0.0692642
0.13875	0.00220814	0.0693075
0.139375	0.00220983	0.0693508
0.14	0.00221152	0.0693941
0.140625	0.0022132	0.0694374
0.14125	0.00221488	0.0694808
0.141875	0.00221656	0.0695242
0.1425	0.00221823	0.0695677
0.143125	0.0022199	0.0696111
0.14375	0.00222157	0.0696546
0.144375	0.00222324	0.0696981
0.145	0.0022249	0.0697417
0.145625	0.00222657	0.0697853
0.14625	0.00222823	0.0698289
0.146875	0.00222988	0.0698725
0.1475	0.00223154	0.0699162
0.148125	0.00223319	0.0699598
0.14875	0.00223484	0.0700036
0.149375	0.00223649	0.0700473
0.15	0.00223813	0.0700911
0.150625	0.00223978	0.0701349
0.15125	0.00224142	0.0701787
0.151875	0.00224306	0.0702225
0.1525	0.00224469	0.0702664
0.153125	0.00224633	0.0703103
0.15375	0.00224796	0.0703543
0.154375	0.00224959	0.0703982
0.155	0.00225122	0.0704422
0.155625	0.00225285	0.0704862
0.15625	0.00225448	0.0705303
0.156875	0.0022561	0.0705743
0.1575	0.00225773	0.0706184
0.158125	0.00225935	0.0706626
0.15875	0.00226097	0.0707067
0.159375	0.00226258	0.0707509
0.16	0.0022642	0.0707951
0.160625	0.00226581	0.0708394
0.16125	0.00226743	0.0708836
0.161875	0.00226904	0.0709279
0.1625	0.00227065	0.0709723
0.163125	0.00227226	0.0710166
0.16375	0.00227386	0.071061
0.164375	0.00227547	0.0711054
0.165	0.00227707	0.0711498
0.165625	0.00227868	0.0711943
0.16625	0.00228028	0.0712388
0.166875	0.00228188	0.0712833
0.1675	0.00228348	0.0713279
0.168125	0.00228508	0.0713724
0.16875	0.00228667	0.071417
0.169375	0.00228827	0.0714617
0.17	0.00228986	0.0715063
0.170625	0.00229146	0.071551
0.17125	0.00229305	0.0715958
0.171875	0.00229464	0.0716405
0.1725	0.00229623	0.0716853
0.173125	0.00229782	0.0717301
0.17375	0.00229941	0.0717749
0.174375	0.002301	0.0718198
0.175	0.00230258	0.0718647
0.175625	0.00230417	0.0719096
0.17625	0.00230575	0.0719545
0.176875	0.00230734	0.0719995
0.1775	0.00230892	0.0720445
0.178125	0.0023105	0.0720895
0.17875	0.00231208	0.0721346
0.179375	0.00231366	0.0721797
0.18	0.00231524	0.0722248
0.180625	0.00231682	0.0722699
0.18125	0.0023184	0.0723151
0.181875	0.00231998	0.0723603
0.1825	0.00232156	0.0724055
0.183125	0.00232313	0.0724508
0.18375	0.00232471	0.072496
0.184375	0.00232628	0.0725414
0.185	0.00232786	0.0725867
0.185625	0.00232943	0.0726321
0.18625	0.00233101	0.0726775
0.186875	0.00233258	0.0727229
0.1875	0.00233415	0.0727683
0.188125	0.00233572	0.0728138
0.18875	0.0023373	0.0728593
0.189375	0.00233887	0.0729049
0.19	0.00234044	0.0729505
0.190625	0.00234201	0.0729961
0.19125	0.00234358	0.0730417
0.191875	0.00234515	0.0730873
0.1925	0.00234672	0.073133
0.193125	0.00234829	0.0731787
0.19375	0.00234985	0.0732245
0.194375	0.00235142	0.0732702
