time	L2Error	H1Error
0.01	0.0226528	0.217455
0.02	0.0235083	0.218673
0.03	0.0241853	0.220374
0.04	0.0247342	0.222325
0.05	0.0251933	0.224414
0.06	0.0255909	0.226586
0.07	0.0259467	0.228814
0.08	0.0262749	0.231084
0.09	0.0265848	0.233387
0.1	0.0268833	0.23572
0.11	0.0271747	0.238081
0.12	0.0274623	0.240469
0.13	0.0277482	0.242882
0.14	0.0280338	0.245321
0.15	0.0283201	0.247785
0.16	0.0286078	0.250274
0.17	0.0288974	0.252788
0.18	0.0291893	0.255328
0.19	0.0294836	0.257894
0.2	0.0297806	0.260486
0.21	0.0300803	0.263104
0.22	0.030383	0.265748
0.23	0.0306885	0.268418
0.24	0.0309971	0.271116
0.25	0.0313087	0.273841
0.26	0.0316234	0.276593
0.27	0.0319413	0.279373
0.28	0.0322623	0.28218
0.29	0.0325866	0.285016
0.3	0.0329141	0.287881
0.31	0.0332449	0.290774
0.32	0.033579	0.293696
0.33	0.0339165	0.296648
0.34	0.0342574	0.299629
0.35	0.0346017	0.302641
0.36	0.0349494	0.305682
0.37	0.0353007	0.308754
0.38	0.0356555	0.311857
0.39	0.0360138	0.314992
0.4	0.0363758	0.318157
0.41	0.0367413	0.321355
0.42	0.0371106	0.324585
0.43	0.0374836	0.327847
0.44	0.0378603	0.331142
0.45	0.0382408	0.33447
0.46	0.0386251	0.337831
0.47	0.0390133	0.341226
0.48	0.0394054	0.344656
0.49	0.0398014	0.34812
0.5	0.0402014	0.351618
0.51	0.0406055	0.355152
0.52	0.0410136	0.358722
0.53	0.0414257	0.362327
0.54	0.0418421	0.365968
0.55	0.0422626	0.369646
0.56	0.0426873	0.373361
0.57	0.0431164	0.377114
0.58	0.0435497	0.380904
0.59	0.0439874	0.384732
0.6	0.0444294	0.388598
0.61	0.044876	0.392504
0.62	0.045327	0.396449
0.63	0.0457825	0.400433
0.64	0.0462427	0.404457
0.65	0.0467074	0.408522
0.66	0.0471768	0.412628
0.67	0.0476509	0.416775
0.68	0.0481298	0.420964
0.69	0.0486136	0.425194
0.7	0.0491021	0.429468
0.71	0.0495956	0.433784
0.72	0.0500941	0.438143
0.73	0.0505975	0.442547
0.74	0.051106	0.446995
0.75	0.0516197	0.451487
0.76	0.0521384	0.456024
0.77	0.0526624	0.460608
0.78	0.0531917	0.465237
0.79	0.0537263	0.469912
0.8	0.0542663	0.474635
0.81	0.0548116	0.479405
0.82	0.0553625	0.484223
0.83	0.0559189	0.48909
0.84	0.0564809	0.494005
0.85	0.0570485	0.49897
0.86	0.0576219	0.503985
0.87	0.058201	0.50905
0.88	0.0587859	0.514166
0.89	0.0593767	0.519334
0.9	0.0599735	0.524553
0.91	0.0605762	0.529825
0.92	0.061185	0.53515
0.93	0.0617999	0.540528
0.94	0.062421	0.54596
0.95	0.0630484	0.551447
0.96	0.063682	0.556989
0.97	0.0643221	0.562587
0.98	0.0649685	0.568241
0.99	0.0656214	0.573952
1	0.066281	0.579721
