time	L2Error	H1Error
3.90625e-05	9.76305e-05	0.0152086
7.8125e-05	9.76576e-05	0.0152092
0.000117187	9.76846e-05	0.0152098
0.00015625	9.77115e-05	0.0152104
0.000195313	9.77383e-05	0.015211
0.000234375	9.77651e-05	0.0152116
0.000273438	9.77918e-05	0.0152121
0.0003125	9.78184e-05	0.0152127
0.000351562	9.7845e-05	0.0152133
0.000390625	9.78715e-05	0.0152139
0.000429687	9.7898e-05	0.0152145
0.00046875	9.79244e-05	0.0152151
0.000507812	9.79508e-05	0.0152157
0.000546875	9.79771e-05	0.0152163
0.000585937	9.80033e-05	0.0152169
0.000625	9.80296e-05	0.0152175
0.000664063	9.80557e-05	0.0152181
0.000703125	9.80819e-05	0.0152187
0.000742188	9.81079e-05	0.0152192
0.00078125	9.8134e-05	0.0152198
0.000820313	9.816e-05	0.0152204
0.000859375	9.81859e-05	0.015221
0.000898438	9.82119e-05	0.0152216
0.0009375	9.82377e-05	0.0152222
0.000976563	9.82636e-05	0.0152228
0.00101563	9.82894e-05	0.0152234
0.00105469	9.83151e-05	0.015224
0.00109375	9.83409e-05	0.0152246
0.00113281	9.83666e-05	0.0152252
0.00117188	9.83922e-05	0.0152258
0.00121094	9.84178e-05	0.0152263
0.00125	9.84434e-05	0.0152269
0.00128906	9.8469e-05	0.0152275
0.00132813	9.84945e-05	0.0152281
0.00136719	9.852e-05	0.0152287
0.00140625	9.85455e-05	0.0152293
0.00144531	9.85709e-05	0.0152299
0.00148438	9.85963e-05	0.0152305
0.00152344	9.86216e-05	0.0152311
0.0015625	9.86469e-05	0.0152317
0.00160156	9.86722e-05	0.0152323
0.00164063	9.86975e-05	0.0152329
0.00167969	9.87227e-05	0.0152334
0.00171875	9.87479e-05	0.015234
0.00175781	9.87731e-05	0.0152346
0.00179688	9.87982e-05	0.0152352
0.00183594	9.88234e-05	0.0152358
0.001875	9.88484e-05	0.0152364
0.00191406	9.88735e-05	0.015237
0.00195313	9.88985e-05	0.0152376
0.00199219	9.89235e-05	0.0152382
0.00203125	9.89485e-05	0.0152388
0.00207031	9.89734e-05	0.0152394
0.00210938	9.89983e-05	0.01524
0.00214844	9.90232e-05	0.0152406
0.0021875	9.90481e-05	0.0152411
0.00222656	9.90729e-05	0.0152417
0.00226563	9.90977e-05	0.0152423
0.00230469	9.91225e-05	0.0152429
0.00234375	9.91472e-05	0.0152435
0.00238281	9.91719e-05	0.0152441
0.00242188	9.91966e-05	0.0152447
0.00246094	9.92213e-05	0.0152453
0.0025	9.9246e-05	0.0152459
0.00253906	9.92706e-05	0.0152465
0.00257813	9.92952e-05	0.0152471
0.00261719	9.93197e-05	0.0152477
0.00265625	9.93443e-05	0.0152483
0.00269531	9.93688e-05	0.0152489
0.00273438	9.93933e-05	0.0152494
0.00277344	9.94177e-05	0.01525
0.0028125	9.94422e-05	0.0152506
0.00285156	9.94666e-05	0.0152512
0.00289063	9.9491e-05	0.0152518
0.00292969	9.95154e-05	0.0152524
0.00296875	9.95397e-05	0.015253
0.00300781	9.9564e-05	0.0152536
0.00304688	9.95883e-05	0.0152542
0.00308594	9.96126e-05	0.0152548
0.003125	9.96368e-05	0.0152554
0.00316406	9.96611e-05	0.015256
0.00320313	9.96853e-05	0.0152566
0.00324219	9.97094e-05	0.0152572
0.00328125	9.97336e-05	0.0152578
0.00332031	9.97577e-05	0.0152583
0.00335938	9.97818e-05	0.0152589
0.00339844	9.98059e-05	0.0152595
0.0034375	9.983e-05	0.0152601
0.00347656	9.9854e-05	0.0152607
0.00351563	9.9878e-05	0.0152613
0.00355469	9.9902e-05	0.0152619
0.00359375	9.9926e-05	0.0152625
0.00363281	9.995e-05	0.0152631
0.00367188	9.99739e-05	0.0152637
0.00371094	9.99978e-05	0.0152643
0.00375	0.000100022	0.0152649
0.00378906	0.000100046	0.0152655
0.00382813	0.000100069	0.0152661
0.00386719	0.000100093	0.0152667
0.00390625	0.000100117	0.0152673
0.00394531	0.000100141	0.0152678
0.00398438	0.000100165	0.0152684
0.00402344	0.000100188	0.015269
0.0040625	0.000100212	0.0152696
0.00410156	0.000100236	0.0152702
0.00414063	0.000100259	0.0152708
0.00417969	0.000100283	0.0152714
0.00421875	0.000100307	0.015272
0.00425781	0.00010033	0.0152726
0.00429688	0.000100354	0.0152732
0.00433594	0.000100377	0.0152738
0.004375	0.000100401	0.0152744
0.00441406	0.000100424	0.015275
0.00445313	0.000100448	0.0152756
0.00449219	0.000100471	0.0152762
0.00453125	0.000100495	0.0152768
0.00457031	0.000100518	0.0152774
0.00460938	0.000100542	0.0152779
0.00464844	0.000100565	0.0152785
0.0046875	0.000100588	0.0152791
0.00472656	0.000100612	0.0152797
0.00476563	0.000100635	0.0152803
0.00480469	0.000100659	0.0152809
0.00484375	0.000100682	0.0152815
0.00488281	0.000100705	0.0152821
0.00492188	0.000100728	0.0152827
0.00496094	0.000100752	0.0152833
0.005	0.000100775	0.0152839
0.00503906	0.000100798	0.0152845
0.00507813	0.000100821	0.0152851
0.00511719	0.000100844	0.0152857
0.00515625	0.000100868	0.0152863
0.00519531	0.000100891	0.0152869
0.00523438	0.000100914	0.0152875
0.00527344	0.000100937	0.0152881
0.0053125	0.00010096	0.0152887
0.00535156	0.000100983	0.0152892
0.00539063	0.000101006	0.0152898
0.00542969	0.000101029	0.0152904
0.00546875	0.000101052	0.015291
0.00550781	0.000101075	0.0152916
0.00554688	0.000101098	0.0152922
0.00558594	0.000101121	0.0152928
0.005625	0.000101144	0.0152934
0.00566406	0.000101167	0.015294
0.00570313	0.00010119	0.0152946
0.00574219	0.000101212	0.0152952
0.00578125	0.000101235	0.0152958
0.00582031	0.000101258	0.0152964
0.00585938	0.000101281	0.015297
0.00589844	0.000101304	0.0152976
0.0059375	0.000101326	0.0152982
0.00597656	0.000101349	0.0152988
0.00601563	0.000101372	0.0152994
0.00605469	0.000101395	0.0153
0.00609375	0.000101417	0.0153006
0.00613281	0.00010144	0.0153012
0.00617188	0.000101463	0.0153017
0.00621094	0.000101485	0.0153023
0.00625	0.000101508	0.0153029
0.00628906	0.000101531	0.0153035
0.00632813	0.000101553	0.0153041
0.00636719	0.000101576	0.0153047
0.00640625	0.000101598	0.0153053
0.00644531	0.000101621	0.0153059
0.00648438	0.000101643	0.0153065
0.00652344	0.000101666	0.0153071
0.0065625	0.000101688	0.0153077
0.00660156	0.000101711	0.0153083
0.00664063	0.000101733	0.0153089
0.00667969	0.000101756	0.0153095
0.00671875	0.000101778	0.0153101
0.00675781	0.000101801	0.0153107
0.00679688	0.000101823	0.0153113
0.00683594	0.000101845	0.0153119
0.006875	0.000101868	0.0153125
0.00691406	0.00010189	0.0153131
0.00695313	0.000101912	0.0153137
0.00699219	0.000101935	0.0153143
0.00703125	0.000101957	0.0153149
0.00707031	0.000101979	0.0153155
0.00710938	0.000102001	0.0153161
0.00714844	0.000102024	0.0153166
0.0071875	0.000102046	0.0153172
0.00722656	0.000102068	0.0153178
0.00726563	0.00010209	0.0153184
0.00730469	0.000102112	0.015319
0.00734375	0.000102134	0.0153196
0.00738281	0.000102157	0.0153202
0.00742188	0.000102179	0.0153208
0.00746094	0.000102201	0.0153214
0.0075	0.000102223	0.015322
0.00753906	0.000102245	0.0153226
0.00757813	0.000102267	0.0153232
0.00761719	0.000102289	0.0153238
0.00765625	0.000102311	0.0153244
0.00769531	0.000102333	0.015325
0.00773438	0.000102355	0.0153256
0.00777344	0.000102377	0.0153262
0.0078125	0.000102399	0.0153268
0.00785156	0.000102421	0.0153274
0.00789063	0.000102443	0.015328
0.00792969	0.000102465	0.0153286
0.00796875	0.000102487	0.0153292
0.00800781	0.000102508	0.0153298
0.00804688	0.00010253	0.0153304
0.00808594	0.000102552	0.015331
0.008125	0.000102574	0.0153316
0.00816406	0.000102596	0.0153322
0.00820312	0.000102618	0.0153328
0.00824219	0.000102639	0.0153334
0.00828125	0.000102661	0.015334
0.00832031	0.000102683	0.0153345
0.00835937	0.000102705	0.0153351
0.00839844	0.000102726	0.0153357
0.0084375	0.000102748	0.0153363
0.00847656	0.00010277	0.0153369
0.00851562	0.000102791	0.0153375
0.00855469	0.000102813	0.0153381
0.00859375	0.000102835	0.0153387
0.00863281	0.000102856	0.0153393
0.00867187	0.000102878	0.0153399
0.00871094	0.000102899	0.0153405
0.00875	0.000102921	0.0153411
0.00878906	0.000102943	0.0153417
0.00882812	0.000102964	0.0153423
0.00886719	0.000102986	0.0153429
0.00890625	0.000103007	0.0153435
0.00894531	0.000103029	0.0153441
0.00898437	0.00010305	0.0153447
0.00902344	0.000103072	0.0153453
0.0090625	0.000103093	0.0153459
0.00910156	0.000103115	0.0153465
0.00914062	0.000103136	0.0153471
0.00917969	0.000103157	0.0153477
0.00921875	0.000103179	0.0153483
0.00925781	0.0001032	0.0153489
0.00929687	0.000103221	0.0153495
0.00933594	0.000103243	0.0153501
0.009375	0.000103264	0.0153507
0.00941406	0.000103285	0.0153513
0.00945312	0.000103307	0.0153519
0.00949219	0.000103328	0.0153525
0.00953125	0.000103349	0.0153531
0.00957031	0.000103371	0.0153537
0.00960937	0.000103392	0.0153543
0.00964844	0.000103413	0.0153549
0.0096875	0.000103434	0.0153555
0.00972656	0.000103456	0.0153561
0.00976562	0.000103477	0.0153567
0.00980469	0.000103498	0.0153573
0.00984375	0.000103519	0.0153579
0.00988281	0.00010354	0.0153585
0.00992187	0.000103561	0.0153591
0.00996094	0.000103582	0.0153596
0.01	0.000103604	0.0153602
0.0100391	0.000103625	0.0153608
0.0100781	0.000103646	0.0153614
0.0101172	0.000103667	0.015362
0.0101562	0.000103688	0.0153626
0.0101953	0.000103709	0.0153632
0.0102344	0.00010373	0.0153638
0.0102734	0.000103751	0.0153644
0.0103125	0.000103772	0.015365
0.0103516	0.000103793	0.0153656
0.0103906	0.000103814	0.0153662
0.0104297	0.000103835	0.0153668
0.0104687	0.000103856	0.0153674
0.0105078	0.000103876	0.015368
0.0105469	0.000103897	0.0153686
0.0105859	0.000103918	0.0153692
0.010625	0.000103939	0.0153698
0.0106641	0.00010396	0.0153704
0.0107031	0.000103981	0.015371
0.0107422	0.000104002	0.0153716
0.0107812	0.000104022	0.0153722
0.0108203	0.000104043	0.0153728
0.0108594	0.000104064	0.0153734
0.0108984	0.000104085	0.015374
0.0109375	0.000104106	0.0153746
0.0109766	0.000104126	0.0153752
0.0110156	0.000104147	0.0153758
0.0110547	0.000104168	0.0153764
0.0110937	0.000104188	0.015377
0.0111328	0.000104209	0.0153776
0.0111719	0.00010423	0.0153782
0.0112109	0.000104251	0.0153788
0.01125	0.000104271	0.0153794
0.0112891	0.000104292	0.01538
0.0113281	0.000104312	0.0153806
0.0113672	0.000104333	0.0153812
0.0114062	0.000104354	0.0153818
0.0114453	0.000104374	0.0153824
0.0114844	0.000104395	0.015383
0.0115234	0.000104415	0.0153836
0.0115625	0.000104436	0.0153842
0.0116016	0.000104456	0.0153848
0.0116406	0.000104477	0.0153854
0.0116797	0.000104497	0.015386
0.0117187	0.000104518	0.0153866
0.0117578	0.000104538	0.0153872
0.0117969	0.000104559	0.0153878
0.0118359	0.000104579	0.0153884
0.011875	0.0001046	0.015389
0.0119141	0.00010462	0.0153896
0.0119531	0.000104641	0.0153902
0.0119922	0.000104661	0.0153908
0.0120312	0.000104681	0.0153914
0.0120703	0.000104702	0.015392
0.0121094	0.000104722	0.0153926
0.0121484	0.000104742	0.0153932
0.0121875	0.000104763	0.0153938
0.0122266	0.000104783	0.0153944
0.0122656	0.000104803	0.015395
0.0123047	0.000104824	0.0153956
0.0123437	0.000104844	0.0153962
0.0123828	0.000104864	0.0153968
0.0124219	0.000104884	0.0153974
0.0124609	0.000104905	0.015398
0.0125	0.000104925	0.0153986
0.0125391	0.000104945	0.0153992
0.0125781	0.000104965	0.0153998
0.0126172	0.000104985	0.0154004
0.0126562	0.000105006	0.015401
0.0126953	0.000105026	0.0154016
0.0127344	0.000105046	0.0154022
0.0127734	0.000105066	0.0154028
0.0128125	0.000105086	0.0154034
0.0128516	0.000105106	0.015404
0.0128906	0.000105126	0.0154046
0.0129297	0.000105146	0.0154052
0.0129687	0.000105167	0.0154058
0.0130078	0.000105187	0.0154064
0.0130469	0.000105207	0.015407
0.0130859	0.000105227	0.0154076
0.013125	0.000105247	0.0154082
0.0131641	0.000105267	0.0154088
0.0132031	0.000105287	0.0154094
0.0132422	0.000105307	0.01541
0.0132812	0.000105327	0.0154106
0.0133203	0.000105347	0.0154112
0.0133594	0.000105367	0.0154118
0.0133984	0.000105386	0.0154124
0.0134375	0.000105406	0.015413
0.0134766	0.000105426	0.0154136
0.0135156	0.000105446	0.0154142
0.0135547	0.000105466	0.0154148
0.0135937	0.000105486	0.0154154
0.0136328	0.000105506	0.015416
0.0136719	0.000105526	0.0154166
0.0137109	0.000105545	0.0154172
0.01375	0.000105565	0.0154178
0.0137891	0.000105585	0.0154184
0.0138281	0.000105605	0.015419
0.0138672	0.000105625	0.0154196
0.0139062	0.000105644	0.0154202
0.0139453	0.000105664	0.0154208
0.0139844	0.000105684	0.0154214
0.0140234	0.000105704	0.015422
0.0140625	0.000105723	0.0154226
0.0141016	0.000105743	0.0154232
0.0141406	0.000105763	0.0154238
0.0141797	0.000105782	0.0154244
0.0142187	0.000105802	0.015425
0.0142578	0.000105822	0.0154256
0.0142969	0.000105841	0.0154262
0.0143359	0.000105861	0.0154268
0.014375	0.000105881	0.0154274
0.0144141	0.0001059	0.015428
0.0144531	0.00010592	0.0154286
0.0144922	0.000105939	0.0154292
0.0145312	0.000105959	0.0154298
0.0145703	0.000105979	0.0154304
0.0146094	0.000105998	0.015431
0.0146484	0.000106018	0.0154316
0.0146875	0.000106037	0.0154322
0.0147266	0.000106057	0.0154328
0.0147656	0.000106076	0.0154334
0.0148047	0.000106096	0.015434
0.0148437	0.000106115	0.0154346
0.0148828	0.000106135	0.0154352
0.0149219	0.000106154	0.0154358
0.0149609	0.000106174	0.0154364
0.015	0.000106193	0.015437
0.0150391	0.000106212	0.0154376
0.0150781	0.000106232	0.0154382
0.0151172	0.000106251	0.0154388
0.0151562	0.000106271	0.0154394
0.0151953	0.00010629	0.01544
0.0152344	0.000106309	0.0154406
0.0152734	0.000106329	0.0154412
0.0153125	0.000106348	0.0154418
0.0153516	0.000106367	0.0154424
0.0153906	0.000106387	0.0154431
0.0154297	0.000106406	0.0154437
0.0154687	0.000106425	0.0154443
0.0155078	0.000106444	0.0154449
0.0155469	0.000106464	0.0154455
0.0155859	0.000106483	0.0154461
0.015625	0.000106502	0.0154467
0.0156641	0.000106521	0.0154473
0.0157031	0.000106541	0.0154479
0.0157422	0.00010656	0.0154485
0.0157812	0.000106579	0.0154491
0.0158203	0.000106598	0.0154497
0.0158594	0.000106617	0.0154503
0.0158984	0.000106637	0.0154509
0.0159375	0.000106656	0.0154515
0.0159766	0.000106675	0.0154521
0.0160156	0.000106694	0.0154527
0.0160547	0.000106713	0.0154533
0.0160937	0.000106732	0.0154539
0.0161328	0.000106751	0.0154545
0.0161719	0.00010677	0.0154551
0.0162109	0.000106789	0.0154557
0.01625	0.000106808	0.0154563
0.0162891	0.000106828	0.0154569
0.0163281	0.000106847	0.0154575
0.0163672	0.000106866	0.0154581
0.0164062	0.000106885	0.0154587
0.0164453	0.000106904	0.0154593
0.0164844	0.000106923	0.0154599
0.0165234	0.000106942	0.0154605
0.0165625	0.000106961	0.0154611
0.0166016	0.000106979	0.0154617
