time	L2Error	H1Error
0.003125	0.000397763	0.0304703
0.00625	0.000405224	0.0305642
0.009375	0.000412261	0.0306585
0.0125	0.000418933	0.0307534
0.015625	0.000425282	0.0308487
0.01875	0.00043134	0.0309444
0.021875	0.000437131	0.0310404
0.025	0.000442677	0.0311369
0.028125	0.000447996	0.0312337
0.03125	0.000453104	0.031331
0.034375	0.000458013	0.0314285
0.0375	0.000462738	0.0315264
0.040625	0.000467289	0.0316247
0.04375	0.000471676	0.0317233
0.046875	0.000475911	0.0318223
0.05	0.000480001	0.0319216
0.053125	0.000483955	0.0320213
0.05625	0.000487782	0.0321212
0.059375	0.000491488	0.0322216
0.0625	0.000495081	0.0323222
0.065625	0.000498568	0.0324232
0.06875	0.000501954	0.0325245
0.071875	0.000505246	0.0326262
0.075	0.00050845	0.0327282
0.078125	0.00051157	0.0328305
0.08125	0.000514612	0.0329331
0.084375	0.00051758	0.0330361
0.0875	0.000520479	0.0331394
0.090625	0.000523313	0.033243
0.09375	0.000526086	0.033347
0.096875	0.000528803	0.0334513
0.1	0.000531465	0.0335559
0.103125	0.000534078	0.0336609
0.10625	0.000536644	0.0337662
0.109375	0.000539166	0.0338718
0.1125	0.000541647	0.0339778
0.115625	0.000544089	0.0340841
0.11875	0.000546496	0.0341908
0.121875	0.000548869	0.0342977
0.125	0.000551211	0.034405
0.128125	0.000553524	0.0345127
0.13125	0.00055581	0.0346207
0.134375	0.000558071	0.034729
0.1375	0.000560309	0.0348377
0.140625	0.000562525	0.0349467
0.14375	0.000564721	0.0350561
0.146875	0.000566898	0.0351658
0.15	0.000569058	0.0352758
0.153125	0.000571203	0.0353862
0.15625	0.000573333	0.0354969
0.159375	0.00057545	0.035608
0.1625	0.000577554	0.0357195
0.165625	0.000579647	0.0358313
0.16875	0.00058173	0.0359434
0.171875	0.000583804	0.0360559
0.175	0.00058587	0.0361687
0.178125	0.000587928	0.0362819
0.18125	0.00058998	0.0363955
0.184375	0.000592025	0.0365094
0.1875	0.000594065	0.0366236
0.190625	0.000596101	0.0367382
0.19375	0.000598133	0.0368532
0.196875	0.000600161	0.0369686
0.2	0.000602187	0.0370843
0.203125	0.00060421	0.0372003
0.20625	0.000606232	0.0373168
0.209375	0.000608252	0.0374336
0.2125	0.000610271	0.0375507
0.215625	0.00061229	0.0376682
0.21875	0.000614309	0.0377861
0.221875	0.000616328	0.0379044
0.225	0.000618348	0.038023
0.228125	0.000620369	0.038142
0.23125	0.000622391	0.0382614
0.234375	0.000624415	0.0383812
0.2375	0.00062644	0.0385013
0.240625	0.000628468	0.0386218
0.24375	0.000630498	0.0387427
0.246875	0.000632531	0.0388639
0.25	0.000634567	0.0389856
0.253125	0.000636606	0.0391076
0.25625	0.000638648	0.03923
0.259375	0.000640694	0.0393528
0.2625	0.000642743	0.0394759
0.265625	0.000644796	0.0395995
0.26875	0.000646853	0.0397234
0.271875	0.000648915	0.0398478
0.275	0.00065098	0.0399725
0.278125	0.00065305	0.0400976
0.28125	0.000655125	0.0402231
0.284375	0.000657204	0.040349
0.2875	0.000659288	0.0404753
0.290625	0.000661377	0.0406019
0.29375	0.000663471	0.040729
0.296875	0.000665571	0.0408565
0.3	0.000667675	0.0409844
0.303125	0.000669785	0.0411126
0.30625	0.0006719	0.0412413
0.309375	0.000674021	0.0413704
0.3125	0.000676147	0.0414999
0.315625	0.000678279	0.0416298
0.31875	0.000680417	0.0417601
0.321875	0.000682561	0.0418908
0.325	0.00068471	0.0420219
0.328125	0.000686865	0.0421534
0.33125	0.000689027	0.0422853
0.334375	0.000691194	0.0424177
0.3375	0.000693368	0.0425505
0.340625	0.000695548	0.0426836
0.34375	0.000697734	0.0428172
0.346875	0.000699927	0.0429512
0.35	0.000702125	0.0430857
0.353125	0.000704331	0.0432205
0.35625	0.000706542	0.0433558
0.359375	0.00070876	0.0434915
0.3625	0.000710985	0.0436276
0.365625	0.000713216	0.0437642
0.36875	0.000715454	0.0439012
0.371875	0.000717699	0.0440386
0.375	0.00071995	0.0441764
0.378125	0.000722208	0.0443147
0.38125	0.000724473	0.0444534
0.384375	0.000726745	0.0445925
0.3875	0.000729023	0.0447321
0.390625	0.000731309	0.0448721
0.39375	0.000733601	0.0450125
0.396875	0.000735901	0.0451534
0.4	0.000738207	0.0452947
0.403125	0.00074052	0.0454365
0.40625	0.000742841	0.0455787
0.409375	0.000745169	0.0457214
0.4125	0.000747503	0.0458645
0.415625	0.000749845	0.046008
0.41875	0.000752194	0.046152
0.421875	0.00075455	0.0462965
0.425	0.000756914	0.0464414
0.428125	0.000759285	0.0465867
