time	L2Error	H1Error
0.00078125	9.81388e-05	0.0152198
0.0015625	9.86596e-05	0.0152317
0.00234375	9.91683e-05	0.0152435
0.003125	9.96667e-05	0.0152554
0.00390625	0.000100156	0.0152672
0.0046875	0.000100636	0.0152791
0.00546875	0.000101108	0.015291
0.00625	0.000101573	0.0153029
0.00703125	0.000102031	0.0153149
0.0078125	0.000102482	0.0153268
0.00859375	0.000102927	0.0153387
0.009375	0.000103365	0.0153507
0.0101563	0.000103797	0.0153626
0.0109375	0.000104223	0.0153746
0.0117188	0.000104644	0.0153866
0.0125	0.00010506	0.0153986
0.0132813	0.00010547	0.0154106
0.0140625	0.000105875	0.0154226
0.0148438	0.000106275	0.0154346
0.015625	0.00010667	0.0154466
0.0164063	0.000107061	0.0154587
0.0171875	0.000107446	0.0154707
0.0179688	0.000107828	0.0154828
0.01875	0.000108205	0.0154949
0.0195313	0.000108577	0.015507
0.0203125	0.000108946	0.0155191
0.0210938	0.00010931	0.0155312
0.021875	0.000109671	0.0155433
0.0226563	0.000110027	0.0155554
0.0234375	0.000110379	0.0155675
0.0242188	0.000110728	0.0155797
0.025	0.000111073	0.0155918
0.0257813	0.000111414	0.015604
0.0265625	0.000111752	0.0156162
0.0273438	0.000112086	0.0156284
0.028125	0.000112417	0.0156406
0.0289063	0.000112744	0.0156528
0.0296875	0.000113068	0.015665
0.0304688	0.000113389	0.0156772
0.03125	0.000113707	0.0156895
0.0320313	0.000114021	0.0157017
0.0328125	0.000114332	0.015714
0.0335938	0.00011464	0.0157262
0.034375	0.000114946	0.0157385
0.0351562	0.000115248	0.0157508
0.0359375	0.000115547	0.0157631
0.0367187	0.000115843	0.0157754
0.0375	0.000116137	0.0157877
0.0382812	0.000116428	0.0158
0.0390625	0.000116716	0.0158124
0.0398437	0.000117001	0.0158247
0.040625	0.000117284	0.0158371
0.0414062	0.000117564	0.0158494
0.0421875	0.000117841	0.0158618
0.0429687	0.000118116	0.0158742
0.04375	0.000118389	0.0158866
0.0445312	0.000118659	0.015899
0.0453125	0.000118927	0.0159114
0.0460937	0.000119192	0.0159238
0.046875	0.000119455	0.0159363
0.0476562	0.000119715	0.0159487
0.0484375	0.000119974	0.0159612
0.0492187	0.00012023	0.0159736
0.05	0.000120484	0.0159861
0.0507812	0.000120736	0.0159986
0.0515625	0.000120985	0.0160111
0.0523437	0.000121233	0.0160236
0.053125	0.000121478	0.0160361
0.0539062	0.000121721	0.0160486
0.0546875	0.000121963	0.0160612
0.0554687	0.000122202	0.0160737
0.05625	0.00012244	0.0160863
0.0570312	0.000122675	0.0160988
0.0578125	0.000122909	0.0161114
0.0585937	0.000123141	0.016124
0.059375	0.00012337	0.0161366
0.0601562	0.000123599	0.0161492
0.0609375	0.000123825	0.0161618
0.0617187	0.00012405	0.0161744
0.0625	0.000124272	0.0161871
0.0632812	0.000124494	0.0161997
0.0640625	0.000124713	0.0162124
0.0648437	0.000124931	0.016225
0.065625	0.000125147	0.0162377
0.0664062	0.000125362	0.0162504
0.0671875	0.000125575	0.0162631
0.0679687	0.000125786	0.0162758
0.06875	0.000125996	0.0162885
0.0695312	0.000126205	0.0163013
0.0703125	0.000126412	0.016314
0.0710937	0.000126618	0.0163267
0.071875	0.000126822	0.0163395
0.0726562	0.000127024	0.0163523
0.0734375	0.000127226	0.016365
0.0742187	0.000127426	0.0163778
0.075	0.000127624	0.0163906
0.0757812	0.000127822	0.0164034
0.0765625	0.000128018	0.0164162
0.0773437	0.000128212	0.0164291
0.078125	0.000128406	0.0164419
0.0789062	0.000128598	0.0164547
0.0796875	0.000128789	0.0164676
0.0804687	0.000128979	0.0164805
0.08125	0.000129167	0.0164933
0.0820312	0.000129355	0.0165062
0.0828125	0.000129541	0.0165191
0.0835937	0.000129726	0.016532
0.084375	0.00012991	0.016545
0.0851562	0.000130093	0.0165579
0.0859375	0.000130275	0.0165708
0.0867187	0.000130456	0.0165838
0.0875	0.000130636	0.0165967
0.0882812	0.000130814	0.0166097
0.0890625	0.000130992	0.0166227
0.0898437	0.000131169	0.0166357
0.090625	0.000131344	0.0166487
0.0914062	0.000131519	0.0166617
0.0921875	0.000131693	0.0166747
0.0929687	0.000131866	0.0166877
0.09375	0.000132038	0.0167008
0.0945312	0.000132209	0.0167138
0.0953125	0.000132379	0.0167269
0.0960937	0.000132549	0.0167399
0.096875	0.000132717	0.016753
0.0976562	0.000132885	0.0167661
0.0984375	0.000133051	0.0167792
0.0992187	0.000133217	0.0167923
0.1	0.000133383	0.0168055
0.100781	0.000133547	0.0168186
0.101562	0.000133711	0.0168317
0.102344	0.000133873	0.0168449
0.103125	0.000134036	0.016858
0.103906	0.000134197	0.0168712
0.104687	0.000134358	0.0168844
0.105469	0.000134517	0.0168976
0.10625	0.000134677	0.0169108
0.107031	0.000134835	0.016924
0.107812	0.000134993	0.0169372
0.108594	0.00013515	0.0169505
0.109375	0.000135307	0.0169637
0.110156	0.000135463	0.016977
0.110937	0.000135618	0.0169902
0.111719	0.000135772	0.0170035
0.1125	0.000135926	0.0170168
0.113281	0.00013608	0.0170301
0.114062	0.000136233	0.0170434
0.114844	0.000136385	0.0170567
0.115625	0.000136536	0.0170701
0.116406	0.000136687	0.0170834
0.117187	0.000136838	0.0170968
0.117969	0.000136988	0.0171101
0.11875	0.000137137	0.0171235
0.119531	0.000137286	0.0171369
0.120312	0.000137435	0.0171503
0.121094	0.000137583	0.0171637
0.121875	0.00013773	0.0171771
0.122656	0.000137877	0.0171905
0.123437	0.000138024	0.0172039
0.124219	0.000138169	0.0172174
0.125	0.000138315	0.0172308
0.125781	0.00013846	0.0172443
0.126562	0.000138605	0.0172578
0.127344	0.000138749	0.0172713
0.128125	0.000138893	0.0172848
0.128906	0.000139036	0.0172983
0.129687	0.000139179	0.0173118
0.130469	0.000139321	0.0173253
0.13125	0.000139463	0.0173389
0.132031	0.000139605	0.0173524
0.132812	0.000139746	0.017366
0.133594	0.000139887	0.0173795
0.134375	0.000140028	0.0173931
0.135156	0.000140168	0.0174067
0.135937	0.000140308	0.0174203
0.136719	0.000140448	0.0174339
0.1375	0.000140587	0.0174476
0.138281	0.000140726	0.0174612
0.139062	0.000140864	0.0174748
0.139844	0.000141002	0.0174885
0.140625	0.00014114	0.0175022
0.141406	0.000141278	0.0175158
0.142187	0.000141415	0.0175295
0.142969	0.000141552	0.0175432
0.14375	0.000141689	0.0175569
0.144531	0.000141825	0.0175707
0.145312	0.000141961	0.0175844
0.146094	0.000142097	0.0175981
0.146875	0.000142232	0.0176119
0.147656	0.000142368	0.0176257
0.148438	0.000142503	0.0176394
0.149219	0.000142637	0.0176532
0.15	0.000142772	0.017667
0.150781	0.000142906	0.0176808
0.151563	0.00014304	0.0176946
0.152344	0.000143174	0.0177085
0.153125	0.000143307	0.0177223
0.153906	0.000143441	0.0177362
0.154688	0.000143574	0.01775
0.155469	0.000143707	0.0177639
0.15625	0.00014384	0.0177778
0.157031	0.000143972	0.0177917
0.157813	0.000144104	0.0178056
0.158594	0.000144236	0.0178195
0.159375	0.000144368	0.0178334
0.160156	0.0001445	0.0178474
0.160938	0.000144631	0.0178613
0.161719	0.000144763	0.0178753
0.1625	0.000144894	0.0178892
0.163281	0.000145025	0.0179032
0.164063	0.000145156	0.0179172
0.164844	0.000145286	0.0179312
0.165625	0.000145417	0.0179452
0.166406	0.000145547	0.0179592
0.167188	0.000145678	0.0179733
0.167969	0.000145808	0.0179873
0.16875	0.000145938	0.0180014
0.169531	0.000146067	0.0180155
0.170313	0.000146197	0.0180295
0.171094	0.000146326	0.0180436
0.171875	0.000146456	0.0180577
0.172656	0.000146585	0.0180718
0.173438	0.000146714	0.018086
0.174219	0.000146843	0.0181001
0.175	0.000146972	0.0181142
0.175781	0.000147101	0.0181284
